image_path,predicted_idx,confidence,entropy,predicted_label,rank
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000416_017.jpg,3,0.42296797037124634,1.2795971632003784,RELAXED,35
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00001447_021.jpg,0,0.4305182099342346,1.2786979675292969,ALERT,36
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000173_011.jpg,0,0.41396376490592957,1.2783894538879395,ALERT,37
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000228_004.jpg,3,0.46895459294319153,1.2703337669372559,RELAXED,38
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000641_015.jpg,1,0.4184440076351166,1.2658183574676514,ANXIOUS,39
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000072_022.jpg,3,0.43316394090652466,1.2643439769744873,RELAXED,40
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000390_020.jpg,3,0.4682669937610626,1.2639718055725098,RELAXED,41
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00001268_014.jpg,1,0.43463894724845886,1.2628021240234375,ANXIOUS,42
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000281_008.jpg,0,0.34984877705574036,1.2603867053985596,ALERT,43
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000229_016.jpg,1,0.4224206209182739,1.2545936107635498,ANXIOUS,44
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000218_000.jpg,3,0.4286598861217499,1.2530709505081177,RELAXED,45
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000595_018.jpg,2,0.44442522525787354,1.2513298988342285,PLAYFUL,46
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000560_024.jpg,0,0.4454329013824463,1.2463889122009277,ALERT,47
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000652_029.jpg,0,0.3852059543132782,1.2420481443405151,ALERT,48
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00001187_023.jpg,1,0.47326093912124634,1.2317726612091064,ANXIOUS,49
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000566_009.jpg,1,0.41072672605514526,1.2298420667648315,ANXIOUS,50
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00001442_023.jpg,1,0.45959725975990295,1.2274545431137085,ANXIOUS,51
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000048_004.jpg,0,0.43706557154655457,1.226149082183838,ALERT,52
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000349_015.jpg,0,0.40145501494407654,1.225830078125,ALERT,53
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000263_002.jpg,1,0.4547814726829529,1.2255115509033203,ANXIOUS,54
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000894_027.jpg,1,0.44848477840423584,1.224133849143982,ANXIOUS,55
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000414_006.jpg,2,0.4204965829849243,1.2229883670806885,PLAYFUL,56
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000249_007.jpg,3,0.4648405909538269,1.2209546566009521,RELAXED,57
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00001007_004.jpg,1,0.4735388457775116,1.2189987897872925,ANXIOUS,58
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000822_026.jpg,3,0.4269399344921112,1.217957615852356,RELAXED,59
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00001076_022.jpg,1,0.46544328331947327,1.2145254611968994,ANXIOUS,60
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000962_020.jpg,3,0.4636857807636261,1.2110395431518555,RELAXED,61
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00001336_019.jpg,0,0.38231799006462097,1.2074790000915527,ALERT,62
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00001073_021.jpg,2,0.4702518880367279,1.2026214599609375,PLAYFUL,63
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000643_001.jpg,2,0.41334211826324463,1.2008256912231445,PLAYFUL,64
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000107_009.jpg,2,0.430228054523468,1.197223424911499,PLAYFUL,65
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00001428_006.jpg,0,0.4637324810028076,1.193589687347412,ALERT,66
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000201_012.jpg,1,0.46034058928489685,1.1910337209701538,ANXIOUS,67
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00001025_004.jpg,3,0.4258931279182434,1.1903653144836426,RELAXED,68
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00001190_008.jpg,3,0.516373336315155,1.1843935251235962,RELAXED,69
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00001011_022.jpg,1,0.4713909327983856,1.1837626695632935,ANXIOUS,70
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00001055_000.jpg,3,0.4505004286766052,1.1789166927337646,RELAXED,71
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00001028_023.jpg,1,0.5017188787460327,1.1782938241958618,ANXIOUS,72
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00001415_003.jpg,3,0.4305112063884735,1.176393985748291,RELAXED,73
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000610_008.jpg,1,0.5099201798439026,1.1732714176177979,ANXIOUS,74
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00001273_027.jpg,0,0.4614337980747223,1.1731221675872803,ALERT,75
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000670_012.jpg,0,0.5356510281562805,1.171584963798523,ALERT,76
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000334_017.jpg,1,0.43883180618286133,1.1705701351165771,ANXIOUS,77
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000637_005.jpg,0,0.5239286422729492,1.170536994934082,ALERT,78
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000607_024.jpg,1,0.37187671661376953,1.1686484813690186,ANXIOUS,79
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00001091_024.jpg,2,0.41993263363838196,1.166865587234497,PLAYFUL,80
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00001432_010.jpg,2,0.5358474254608154,1.1664849519729614,PLAYFUL,81
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000883_013.jpg,3,0.48258984088897705,1.1660269498825073,RELAXED,82
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000959_001.jpg,2,0.4516366124153137,1.1650983095169067,PLAYFUL,83
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000645_002.jpg,0,0.43665021657943726,1.1647162437438965,ALERT,84
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000197_020.jpg,3,0.4080030620098114,1.1637089252471924,RELAXED,85
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000129_017.jpg,3,0.4098822772502899,1.1625559329986572,RELAXED,86
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00001025_026.jpg,1,0.46859094500541687,1.1623420715332031,ANXIOUS,87
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00001154_012.jpg,2,0.5063994526863098,1.162100076675415,PLAYFUL,88
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00001486_008.jpg,0,0.3863004148006439,1.1618283987045288,ALERT,89
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000078_023.jpg,0,0.5471023917198181,1.16175377368927,ALERT,90
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000570_028.jpg,2,0.5448574423789978,1.1612305641174316,PLAYFUL,91
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000603_026.jpg,3,0.5617315769195557,1.159543752670288,RELAXED,92
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00001304_026.jpg,3,0.559666633605957,1.1571941375732422,RELAXED,93
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000815_019.jpg,0,0.42256197333335876,1.1561110019683838,ALERT,94
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000601_010.jpg,2,0.4389212727546692,1.1556775569915771,PLAYFUL,95
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00001457_011.jpg,0,0.5083062052726746,1.1551569700241089,ALERT,96
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000501_007.jpg,0,0.43417516350746155,1.15498948097229,ALERT,97
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000375_025.jpg,2,0.4425961375236511,1.1546082496643066,PLAYFUL,98
/home/as/Desktop/catalyze v.2/data/raw/crawford/images/00000418_019.jpg,3,0.5132152438163757,1.1545671224594116,RELAXED,99
